Date,Close,High,Low,Open,Volume
15/06/2022,246.4757996,249.9415068,241.2478845,243.0982147,33111700
16/06/2022,239.8283081,242.2268819,237.9192398,240.8171038,33169200
17/06/2022,242.4520721,245.2422595,238.908057,239.5639926,43084800
21/06/2022,248.4142303,249.403026,244.2730035,245.0072617,29928300
22/06/2022,247.8170319,251.7722442,245.1149522,246.603053,25939900
23/06/2022,253.4267426,253.9260477,248.3065348,250.2058183,25861400
24/06/2022,262.0812378,262.3553597,256.2267417,256.3148491,33923200
27/06/2022,259.3302307,262.6686318,257.7540075,262.5805244,24615100
28/06/2022,251.0967255,261.3078019,250.9400801,258.4393072,27295500
29/06/2022,254.7973938,256.4714941,250.3918297,252.1834215,20069800
30/06/2022,251.4393921,254.0827338,247.5918859,251.6547757,31730900
01/07/2022,254.1316528,254.3176673,249.2659821,251.0086353,22837700
05/07/2022,257.3330383,257.4603145,249.3932588,250.7834526,22941000
06/07/2022,260.6225281,262.3651666,256.8924983,258.2141692,23824400
07/07/2022,262.7664795,263.4126302,259.4574184,259.5553254,20859900
08/07/2022,262.0420532,262.4728204,257.7637805,259.2322968,19658800
11/07/2022,258.9582214,260.935813,256.677109,260.0742785,19455200
12/07/2022,248.3457336,260.3582035,246.7499408,260.2994653,35868500
13/07/2022,247.4156647,248.2282456,242.9024233,244.938768,29497400
14/07/2022,248.7470856,249.7848347,240.7779376,245.3107628,25102800
15/07/2022,251.331665,254.9050486,249.4225969,250.3526542,29774100
18/07/2022,248.913559,255.3652382,247.9835015,254.2981197,20975000
19/07/2022,254.0827179,254.2687324,248.3554977,252.1736345,25012600
20/07/2022,256.7652283,259.3106631,253.4757653,254.4449768,22788300
21/07/2022,259.2812195,259.3301879,251.6351474,254.3372268,22404700
22/07/2022,254.8952484,259.7609335,253.6323459,259.6728261,21881300
25/07/2022,253.3973846,256.011357,251.4197933,255.5218515,21056000
26/07/2022,246.6128387,254.4253565,244.3317565,254.4057571,39348000
27/07/2022,263.0993958,264.3818977,253.4169929,255.6785058,45994000
28/07/2022,270.6083984,272.0083768,262.2476372,264.0881825,33459300
29/07/2022,274.8475647,276.0811282,270.8238434,271.8713925,32152800
01/08/2022,272.1748047,275.3761593,270.0503381,271.9887902,21539600
02/08/2022,269.0518188,272.0573899,266.6630295,270.2070447,22754200
03/08/2022,276.5412598,277.54964,270.8042393,270.9511149,23518900
04/08/2022,277.6964722,277.8433178,274.2895329,275.8852958,18098700
05/08/2022,276.9719543,277.6964128,272.8307278,273.2908641,16774600
08/08/2022,274.4363708,279.9188384,273.4573598,278.0880628,18739200
09/08/2022,276.3747864,277.1384137,271.7832225,273.7706435,23405200
10/08/2022,283.0908203,283.7271715,280.9174147,282.121609,24687800
11/08/2022,280.9957581,285.097817,280.4964827,284.7453873,20065900
12/08/2022,285.7830505,285.7830505,280.9173656,282.4250506,22619700
15/08/2022,287.3102722,288.0053615,284.0207807,284.8921146,18085700
16/08/2022,286.5662842,287.8683855,284.3243706,285.8613951,18102900
17/08/2022,285.8108215,287.8024308,283.9958011,284.2606843,18253400
18/08/2022,284.6825867,286.3896718,283.6131734,284.7021977,17186200
19/08/2022,280.7386169,283.7799989,280.159778,283.4366117,20570000
22/08/2022,272.4974365,277.1183568,271.9774606,276.7455382,25061100
23/08/2022,271.2122192,273.5864376,270.1918784,271.2122192,17527400
24/08/2022,270.5745544,271.9873251,269.9073911,270.2017358,18137000
25/08/2022,273.5766602,273.7434285,269.3285282,272.0853858,16583400
26/08/2022,263.0201111,275.0384497,262.9122057,273.8022682,27549300
29/08/2022,260.2142334,262.3431797,258.8603259,260.8225038,20338500
30/08/2022,257.9969788,261.9998088,255.7306655,261.6270201,22767100
31/08/2022,256.5253296,262.0586557,256.3879628,260.3712115,24791800
01/09/2022,255.4755554,255.9563094,250.5799312,253.9744905,23263400
02/09/2022,251.2176361,259.7334811,249.6577083,256.7509922,22855400
06/09/2022,248.4607849,252.9541593,247.1755607,251.3550094,21328200
07/09/2022,253.2092438,253.93524,248.4313454,249.8833528,24126700
08/09/2022,253.6311493,255.5050331,249.9716911,252.6402696,20319900
09/09/2022,259.4588318,260.2142896,255.3677067,255.5737271,22084700
12/09/2022,261.6074219,262.3923112,260.1456086,260.7538791,18747700
13/09/2022,247.2246246,255.4755718,246.83218,253.9450754,33353300
14/09/2022,247.4502716,249.4222551,245.1349009,248.7354958,23913000
15/09/2022,240.739624,246.645769,239.4053424,245.0466041,31530900
16/09/2022,240.1117401,240.6611476,237.4824137,239.6408066,39791800
19/09/2022,239.895874,240.5041444,236.2952794,237.8846387,26826900
20/09/2022,237.8650208,238.9049727,235.1081631,237.4922171,26660300
21/09/2022,234.4312134,242.9765051,234.3821559,239.650614,28625600
22/09/2022,236.4228058,239.2483467,233.0773039,233.3716186,31061200
23/09/2022,233.4207001,236.5700024,230.7521367,235.0100595,34176000
