Price,,,,,
Date,Close,High,Low,Open,Volume
22/08/2022,165.5515594,167.8139688,165.1267311,167.6460184,69026800
23/08/2022,165.2156525,166.6778362,164.642637,165.0674653,54147100
24/08/2022,165.5120392,166.0850547,164.2474585,165.3045772,53841500
25/08/2022,167.9819336,168.0906092,166.322177,166.7469902,51218200
26/08/2022,161.6491241,168.9896345,161.5898493,168.5154206,78961000
29/08/2022,159.4360962,160.9377761,157.8948896,159.2088558,73314000
30/08/2022,156.9958801,160.6019086,155.8202117,160.1770954,77906200
31/08/2022,155.3262177,158.6457456,155.2471795,158.3789936,87991100
01/09/2022,156.0573425,156.5117933,152.8069629,154.753235,74229900
02/09/2022,153.9332123,158.428409,153.103334,157.825756,76957800
06/09/2022,152.6686554,155.1978173,151.838777,154.5852901,73714800
07/09/2022,154.0814056,154.782845,151.7597063,152.955138,87449600
08/09/2022,152.5994873,154.4765952,150.8409141,152.7773119,84923800
09/09/2022,155.4744263,155.9190179,152.8859898,153.5973184,68028800
12/09/2022,161.4614105,162.2814146,157.3811683,157.6676685,104956000
13/09/2022,151.986908,158.6061997,151.5225682,157.9739095,122656600
14/09/2022,153.4392395,155.2076868,151.7597196,152.9254988,87965400
15/09/2022,150.5346527,153.3700929,149.5565872,152.7871882,90481100
16/09/2022,148.8847504,149.5269299,146.5828144,149.3886168,162278800
19/09/2022,152.6192322,152.6982704,147.3040463,147.5115084,81474200
20/09/2022,155.0100861,156.1758804,151.236107,151.5522446,107689800
21/09/2022,151.8683777,156.8279138,151.749828,155.4447684,101696800
22/09/2022,150.9001923,152.6093495,149.0922335,150.544528,86652500
23/09/2022,148.6180115,149.6454928,146.7705411,149.3688667,96029900
26/09/2022,148.9539337,151.9177978,147.8375401,147.8573034,93339400
27/09/2022,149.9319916,152.856344,148.1437961,150.900198,84442700
28/09/2022,148.0351257,148.8254925,143.0953523,145.8616284,146691400
29/09/2022,140.7637787,144.952712,138.9854572,144.3401849,128138200
30/09/2022,136.5353241,141.3763107,136.3377362,139.5782261,124925300
03/10/2022,140.7341309,141.346673,136.0314724,136.545213,114311700
04/10/2022,144.3401794,144.4587292,142.5223314,143.2830607,87830100
05/10/2022,144.6365814,145.604788,141.2874151,142.3346599,79471000
06/10/2022,143.6782532,145.7628383,143.4707911,144.0536808,68402200
07/10/2022,138.4025574,141.3763104,137.770267,140.8230431,85925600
10/10/2022,138.7285767,140.1808711,136.9008698,138.7285767,74899000
11/10/2022,137.3059387,139.6474016,136.5550986,138.2148552,77033700
12/10/2022,136.6736298,138.6693022,136.4958052,137.4541223,70433700
13/10/2022,141.2676392,141.8604029,132.7514599,133.3640021,113224000
14/10/2022,136.7131653,142.7792061,136.5254515,142.5717289,88598000
17/10/2022,140.6946106,141.1786987,138.5803885,139.3707551,85250900
18/10/2022,142.0184784,144.9329415,138.9163015,143.7375249,99136600
19/10/2022,142.1271667,143.2040338,139.795593,139.9833068,61758300
20/10/2022,141.6628418,144.1327289,140.9317498,141.2973033,64522000
21/10/2022,145.4960938,146.0691093,140.9317328,141.149084,86548600
24/10/2022,147.6498108,148.4204142,144.2413705,145.4170388,75981900
25/10/2022,150.5049896,150.6531918,147.5608893,148.2820919,74732300
26/10/2022,147.5510254,150.1592249,146.2567922,149.1416329,88194300
27/10/2022,143.0558167,147.2546233,142.3938889,146.2864321,109180200
28/10/2022,153.8640442,155.6028387,146.0394461,146.4148586,164762400
31/10/2022,151.4929352,152.3821033,150.0900416,151.3151106,97943200
01/11/2022,148.8353729,153.5775586,147.3336926,153.2120202,80379300
02/11/2022,143.2830353,150.3370296,143.2533979,147.155815,93604600
03/11/2022,137.2071533,141.0799339,137.0787144,140.348842,97918500
04/11/2022,136.9399567,141.1853062,132.9815826,140.6113402,140814800
07/11/2022,137.4743195,137.7019217,134.2581408,135.6831577,83374600
08/11/2022,138.0483093,139.9582178,136.0592316,138.9488431,89908500
09/11/2022,133.4664459,137.1081572,133.189361,137.0586745,74917800
10/11/2022,145.3415985,145.3415985,138.0482989,139.7701971,118854000
11/11/2022,148.1421356,148.4489072,142.8676007,144.3025233,93979700
14/11/2022,146.7369385,148.7161257,145.8957779,147.4197605,73374100
15/11/2022,148.4785919,151.9916516,147.0139979,150.6359135,89868300
16/11/2022,147.2416077,148.3103704,145.7572174,147.5780809,64218300
17/11/2022,149.151535,149.9036207,144.6290854,144.9061704,80389400
18/11/2022,149.7156219,151.1109527,148.4093661,150.7250117,74829600
21/11/2022,146.4697113,148.8051523,146.1827359,148.5973461,58724100
22/11/2022,148.617157,148.8546649,145.4009778,146.5885022,51804100
23/11/2022,149.4978638,150.2499492,147.7858565,147.8947124,58301400
25/11/2022,146.5687103,147.3307016,145.5890072,146.766626,35195900
28/11/2022,142.7191925,145.1140072,141.8879375,143.6296168,69246000
29/11/2022,139.7008972,143.3030166,138.8894385,142.7884238,83763800
30/11/2022,146.4895172,147.1723391,139.0873624,139.9285078,111380900
01/12/2022,146.7666016,147.5780754,145.0842957,146.6676513,71250400
02/12/2022,146.2718048,146.45983,144.1342793,144.441066,65447400
05/12/2022,145.1040955,149.3494448,144.2530445,146.2322314,68826400
06/12/2022,141.422821,145.7671362,140.443118,145.5395339,64727200
07/12/2022,139.4733124,141.8780174,138.5430921,140.7103043,69721100
08/12/2022,141.1655273,142.0264841,139.6316693,140.8785518,62128300
09/12/2022,140.6806335,144.0551514,139.4337359,140.8587531,76097000
12/12/2022,142.9863586,142.9962491,139.5920454,141.214978,70462700
13/12/2022,143.956192,148.4093635,142.738996,147.9442533,93886200
14/12/2022,141.7197113,145.1338063,139.6910413,143.8374411,82291200
15/12/2022,135.0795288,140.324378,134.6144186,139.641556,98931900
16/12/2022,133.1102142,136.2175372,132.3383325,135.2675359,160156900
19/12/2022,130.9924774,133.7930286,129.9534164,133.7039688,79592600
20/12/2022,130.9232025,131.8633132,128.5382789,130.0226689,77432800
21/12/2022,134.0404205,135.3862681,131.3685214,131.5961237,85928000
22/12/2022,130.8539429,133.1596975,128.9440347,132.9518913,77852100
23/12/2022,130.4878082,131.0419782,128.2909093,129.5575879,63814900
27/12/2022,128.6768341,130.0424779,127.3804691,130.0127913,69007800
28/12/2022,124.728363,129.6664324,124.560134,128.3205846,85438400
29/12/2022,128.2612152,129.1221567,126.4007821,126.658071,75703700
30/12/2022,128.5778809,128.597677,126.1039046,127.0737096,77034200
